,Day/Eve,Number 1,Number 2,Number 3,Date
348,E,2.0,1.0,0.0,2018-12-28
350,E,3.0,5.0,9.0,2018-12-27
352,E,8.0,8.0,8.0,2018-12-26
354,E,8.0,3.0,1.0,2018-12-25
356,E,5.0,9.0,6.0,2018-12-24
358,E,6.0,2.0,5.0,2018-12-23
360,E,2.0,7.0,0.0,2018-12-22
362,E,9.0,2.0,2.0,2018-12-21
364,E,1.0,8.0,9.0,2018-12-20
366,E,4.0,7.0,3.0,2018-12-19
368,E,1.0,2.0,3.0,2018-12-18
370,E,3.0,2.0,2.0,2018-12-17
372,E,2.0,5.0,3.0,2018-12-16
374,E,2.0,2.0,2.0,2018-12-15
376,E,6.0,6.0,9.0,2018-12-14
378,E,3.0,1.0,9.0,2018-12-13
380,E,6.0,4.0,9.0,2018-12-12
382,E,8.0,5.0,2.0,2018-12-11
384,E,7.0,7.0,2.0,2018-12-10
386,E,0.0,1.0,5.0,2018-12-09
388,E,0.0,1.0,1.0,2018-12-08
390,E,8.0,2.0,1.0,2018-12-07
392,E,4.0,6.0,0.0,2018-12-06
394,E,4.0,0.0,2.0,2018-12-05
396,E,8.0,4.0,2.0,2018-12-04
398,E,0.0,0.0,8.0,2018-12-03
400,E,9.0,3.0,4.0,2018-12-02
402,E,3.0,0.0,8.0,2018-12-01
404,E,3.0,9.0,3.0,2018-11-30
406,E,2.0,9.0,9.0,2018-11-29
408,E,5.0,8.0,0.0,2018-11-28
410,E,0.0,1.0,2.0,2018-11-27
412,E,4.0,2.0,0.0,2018-11-26
414,E,6.0,1.0,7.0,2018-11-25
416,E,9.0,3.0,7.0,2018-11-24
418,E,4.0,7.0,8.0,2018-11-23
420,E,6.0,3.0,3.0,2018-11-22
422,E,2.0,8.0,5.0,2018-11-21
424,E,9.0,8.0,2.0,2018-11-20
426,E,1.0,6.0,8.0,2018-11-19
428,E,1.0,2.0,9.0,2018-11-18
430,E,3.0,9.0,5.0,2018-11-17
432,E,3.0,9.0,0.0,2018-11-16
434,E,5.0,3.0,8.0,2018-11-15
436,E,6.0,7.0,4.0,2018-11-14
438,E,6.0,9.0,6.0,2018-11-13
440,E,6.0,9.0,3.0,2018-11-12
442,E,2.0,9.0,4.0,2018-11-11
444,E,7.0,8.0,7.0,2018-11-10
446,E,0.0,4.0,4.0,2018-11-09
448,E,2.0,4.0,5.0,2018-11-08
450,E,6.0,8.0,7.0,2018-11-07
452,E,0.0,6.0,4.0,2018-11-06
454,E,4.0,1.0,3.0,2018-11-05
456,E,1.0,3.0,0.0,2018-11-04
458,E,3.0,7.0,1.0,2018-11-03
460,E,5.0,1.0,8.0,2018-11-02
462,E,6.0,9.0,4.0,2018-11-01
464,E,1.0,1.0,4.0,2018-10-31
466,E,4.0,5.0,3.0,2018-10-30
468,E,8.0,9.0,6.0,2018-10-29
470,E,5.0,3.0,5.0,2018-10-28
472,E,4.0,2.0,1.0,2018-10-27
474,E,4.0,0.0,8.0,2018-10-26
476,E,9.0,0.0,6.0,2018-10-25
478,E,9.0,4.0,5.0,2018-10-24
480,E,7.0,9.0,7.0,2018-10-23
482,E,5.0,4.0,1.0,2018-10-22
484,E,5.0,0.0,1.0,2018-10-21
486,E,8.0,7.0,0.0,2018-10-20
488,E,1.0,0.0,0.0,2018-10-19
490,E,0.0,5.0,9.0,2018-10-18
492,E,7.0,4.0,1.0,2018-10-17
494,E,6.0,0.0,8.0,2018-10-16
496,E,2.0,9.0,0.0,2018-10-15
498,E,1.0,8.0,9.0,2018-10-14
500,E,3.0,3.0,2.0,2018-10-13
502,E,3.0,2.0,2.0,2018-10-12
504,E,4.0,7.0,4.0,2018-10-11
506,E,1.0,3.0,6.0,2018-10-10
508,E,0.0,5.0,4.0,2018-10-09
510,E,5.0,4.0,9.0,2018-10-08
512,E,9.0,4.0,8.0,2018-10-07
514,E,1.0,7.0,9.0,2018-10-06
516,E,3.0,6.0,3.0,2018-10-05
518,E,9.0,4.0,6.0,2018-10-04
520,E,1.0,6.0,8.0,2018-10-03
522,E,2.0,8.0,6.0,2018-10-02
524,E,3.0,9.0,4.0,2018-10-01
526,E,0.0,0.0,0.0,2018-09-30
528,E,4.0,4.0,4.0,2018-09-29
530,E,2.0,9.0,5.0,2018-09-28
532,E,5.0,9.0,5.0,2018-09-27
534,E,8.0,1.0,6.0,2018-09-26
536,E,5.0,7.0,1.0,2018-09-25
538,E,4.0,3.0,6.0,2018-09-24
540,E,5.0,8.0,8.0,2018-09-23
542,E,7.0,0.0,0.0,2018-09-22
544,E,2.0,6.0,1.0,2018-09-21
546,E,6.0,9.0,6.0,2018-09-20
548,E,7.0,8.0,5.0,2018-09-19
550,E,2.0,3.0,6.0,2018-09-18
552,E,4.0,0.0,7.0,2018-09-17
554,E,2.0,4.0,2.0,2018-09-16
556,E,8.0,5.0,2.0,2018-09-15
558,E,7.0,6.0,4.0,2018-09-14
560,E,1.0,0.0,5.0,2018-09-13
562,E,1.0,2.0,6.0,2018-09-12
564,E,7.0,4.0,0.0,2018-09-11
566,E,7.0,5.0,6.0,2018-09-10
568,E,0.0,5.0,2.0,2018-09-09
570,E,2.0,7.0,7.0,2018-09-08
572,E,1.0,3.0,8.0,2018-09-07
574,E,8.0,6.0,4.0,2018-09-06
576,E,9.0,6.0,1.0,2018-09-05
578,E,2.0,7.0,9.0,2018-09-04
580,E,5.0,9.0,1.0,2018-09-03
582,E,1.0,9.0,8.0,2018-09-02
584,E,0.0,6.0,4.0,2018-09-01
586,E,3.0,7.0,7.0,2018-08-31
588,E,2.0,6.0,9.0,2018-08-30
590,E,8.0,6.0,0.0,2018-08-29
592,E,9.0,2.0,7.0,2018-08-28
594,E,1.0,1.0,1.0,2018-08-27
596,E,8.0,3.0,8.0,2018-08-26
598,E,8.0,6.0,8.0,2018-08-25
600,E,3.0,8.0,4.0,2018-08-24
602,E,5.0,6.0,7.0,2018-08-23
604,E,0.0,7.0,8.0,2018-08-22
606,E,6.0,8.0,2.0,2018-08-21
608,E,5.0,9.0,7.0,2018-08-20
610,E,8.0,4.0,6.0,2018-08-19
612,E,8.0,4.0,0.0,2018-08-18
614,E,0.0,1.0,2.0,2018-08-17
616,E,5.0,2.0,3.0,2018-08-16
618,E,2.0,4.0,2.0,2018-08-15
620,E,9.0,5.0,2.0,2018-08-14
622,E,1.0,6.0,0.0,2018-08-13
624,E,2.0,7.0,1.0,2018-08-12
626,E,3.0,6.0,7.0,2018-08-11
628,E,5.0,4.0,5.0,2018-08-10
630,E,5.0,2.0,6.0,2018-08-09
632,E,2.0,1.0,9.0,2018-08-08
634,E,1.0,7.0,0.0,2018-08-07
636,E,2.0,1.0,0.0,2018-08-06
638,E,6.0,9.0,5.0,2018-08-05
640,E,8.0,0.0,8.0,2018-08-04
642,E,4.0,8.0,3.0,2018-08-03
644,E,3.0,2.0,8.0,2018-08-02
646,E,2.0,8.0,6.0,2018-08-01
648,E,8.0,4.0,7.0,2018-07-31
650,E,2.0,8.0,7.0,2018-07-30
652,E,0.0,7.0,8.0,2018-07-29
654,E,2.0,9.0,1.0,2018-07-28
656,E,9.0,6.0,6.0,2018-07-27
658,E,9.0,2.0,0.0,2018-07-26
660,E,3.0,1.0,0.0,2018-07-25
662,E,3.0,8.0,3.0,2018-07-24
664,E,1.0,3.0,5.0,2018-07-23
666,E,3.0,2.0,5.0,2018-07-22
668,E,9.0,3.0,5.0,2018-07-21
670,E,1.0,5.0,8.0,2018-07-20
672,E,1.0,8.0,1.0,2018-07-19
674,E,1.0,0.0,1.0,2018-07-18
676,E,0.0,3.0,3.0,2018-07-17
678,E,7.0,5.0,7.0,2018-07-16
680,E,2.0,2.0,1.0,2018-07-15
682,E,1.0,5.0,9.0,2018-07-14
684,E,1.0,5.0,2.0,2018-07-13
686,E,3.0,8.0,5.0,2018-07-12
688,E,5.0,3.0,8.0,2018-07-11
690,E,7.0,3.0,3.0,2018-07-10
692,E,0.0,0.0,2.0,2018-07-09
694,E,4.0,2.0,0.0,2018-07-08
696,E,4.0,5.0,0.0,2018-07-07
698,E,5.0,0.0,7.0,2018-07-06
700,E,7.0,4.0,8.0,2018-07-05
702,E,0.0,8.0,8.0,2018-07-04
704,E,5.0,1.0,7.0,2018-07-03
706,E,5.0,2.0,5.0,2018-07-02
708,E,8.0,5.0,6.0,2018-07-01
710,E,6.0,6.0,5.0,2018-06-30
712,E,6.0,9.0,5.0,2018-06-29
714,E,5.0,7.0,4.0,2018-06-28
716,E,3.0,9.0,6.0,2018-06-27
718,E,4.0,9.0,8.0,2018-06-26
720,E,1.0,5.0,9.0,2018-06-25
722,E,0.0,2.0,1.0,2018-06-24
724,E,9.0,8.0,2.0,2018-06-23
726,E,3.0,5.0,6.0,2018-06-22
728,E,3.0,4.0,3.0,2018-06-21
730,E,4.0,9.0,2.0,2018-06-20
732,E,3.0,5.0,7.0,2018-06-19
734,E,7.0,2.0,9.0,2018-06-18
736,E,7.0,0.0,4.0,2018-06-17
738,E,6.0,7.0,1.0,2018-06-16
740,E,7.0,3.0,6.0,2018-06-15
742,E,1.0,8.0,9.0,2018-06-14
744,E,3.0,1.0,6.0,2018-06-13
746,E,9.0,1.0,4.0,2018-06-12
748,E,2.0,8.0,7.0,2018-06-11
750,E,0.0,7.0,4.0,2018-06-10
752,E,6.0,8.0,6.0,2018-06-09
754,E,4.0,0.0,4.0,2018-06-08
756,E,8.0,7.0,0.0,2018-06-07
758,E,7.0,0.0,2.0,2018-06-06
760,E,5.0,5.0,3.0,2018-06-05
762,E,2.0,1.0,0.0,2018-06-04
764,E,9.0,4.0,7.0,2018-06-03
766,E,9.0,7.0,4.0,2018-06-02
768,E,1.0,7.0,8.0,2018-06-01
770,E,6.0,4.0,9.0,2018-05-31
772,E,5.0,1.0,7.0,2018-05-30
774,E,5.0,9.0,9.0,2018-05-29
776,E,1.0,7.0,1.0,2018-05-28
778,E,4.0,1.0,2.0,2018-05-27
780,E,7.0,0.0,7.0,2018-05-26
782,E,1.0,1.0,3.0,2018-05-25
784,E,5.0,3.0,5.0,2018-05-24
786,E,0.0,1.0,5.0,2018-05-23
788,E,8.0,7.0,6.0,2018-05-22
790,E,4.0,1.0,3.0,2018-05-21
792,E,4.0,2.0,7.0,2018-05-20
794,E,0.0,0.0,3.0,2018-05-19
796,E,5.0,3.0,8.0,2018-05-18
798,E,6.0,7.0,7.0,2018-05-17
800,E,6.0,1.0,9.0,2018-05-16
802,E,5.0,0.0,7.0,2018-05-15
804,E,0.0,7.0,6.0,2018-05-14
806,E,0.0,3.0,2.0,2018-05-13
808,E,8.0,3.0,8.0,2018-05-12
810,E,2.0,2.0,1.0,2018-05-11
812,E,7.0,2.0,5.0,2018-05-10
814,E,9.0,8.0,3.0,2018-05-09
816,E,2.0,7.0,2.0,2018-05-08
818,E,3.0,5.0,6.0,2018-05-07
820,E,1.0,6.0,0.0,2018-05-06
822,E,7.0,4.0,9.0,2018-05-05
824,E,2.0,8.0,3.0,2018-05-04
826,E,3.0,0.0,3.0,2018-05-03
828,E,9.0,7.0,3.0,2018-05-02
830,E,5.0,1.0,5.0,2018-05-01
832,E,6.0,9.0,5.0,2018-04-30
834,E,9.0,8.0,7.0,2018-04-29
836,E,8.0,6.0,4.0,2018-04-28
838,E,7.0,7.0,4.0,2018-04-27
840,E,5.0,1.0,2.0,2018-04-26
842,E,1.0,8.0,5.0,2018-04-25
844,E,7.0,7.0,6.0,2018-04-24
846,E,8.0,0.0,1.0,2018-04-23
848,E,5.0,7.0,6.0,2018-04-22
850,E,7.0,2.0,8.0,2018-04-21
852,E,3.0,9.0,8.0,2018-04-20
854,E,4.0,0.0,5.0,2018-04-19
856,E,0.0,8.0,1.0,2018-04-18
858,E,3.0,5.0,7.0,2018-04-17
860,E,4.0,9.0,6.0,2018-04-16
862,E,3.0,2.0,3.0,2018-04-15
864,E,4.0,0.0,7.0,2018-04-14
866,E,2.0,3.0,3.0,2018-04-13
868,E,9.0,1.0,9.0,2018-04-12
870,E,0.0,0.0,5.0,2018-04-11
872,E,1.0,5.0,6.0,2018-04-10
874,E,9.0,0.0,7.0,2018-04-09
876,E,4.0,2.0,8.0,2018-04-08
878,E,7.0,8.0,5.0,2018-04-07
880,E,3.0,3.0,7.0,2018-04-06
882,E,4.0,2.0,0.0,2018-04-05
884,E,1.0,1.0,7.0,2018-04-04
886,E,4.0,5.0,4.0,2018-04-03
888,E,3.0,8.0,8.0,2018-04-02
890,E,7.0,8.0,0.0,2018-04-01
892,E,6.0,1.0,6.0,2018-03-31
894,E,2.0,2.0,4.0,2018-03-30
896,E,4.0,1.0,2.0,2018-03-29
898,E,5.0,9.0,7.0,2018-03-28
900,E,7.0,6.0,2.0,2018-03-27
902,E,3.0,9.0,0.0,2018-03-26
903,E,5.0,1.0,5.0,2018-03-26
905,E,3.0,7.0,9.0,2018-03-25
907,E,7.0,1.0,3.0,2018-03-24
909,E,4.0,0.0,4.0,2018-03-23
911,E,9.0,5.0,5.0,2018-03-22
913,E,9.0,5.0,9.0,2018-03-21
914,E,2.0,5.0,4.0,2018-03-21
916,E,1.0,8.0,5.0,2018-03-20
918,E,6.0,4.0,6.0,2018-03-19
919,E,8.0,1.0,7.0,2018-03-19
921,E,7.0,9.0,4.0,2018-03-18
923,E,7.0,4.0,6.0,2018-03-17
925,E,3.0,9.0,2.0,2018-03-16
927,E,1.0,4.0,3.0,2018-03-15
928,E,9.0,8.0,8.0,2018-03-15
930,E,9.0,9.0,7.0,2018-03-14
932,E,4.0,1.0,7.0,2018-03-13
934,E,8.0,3.0,0.0,2018-03-12
936,E,0.0,1.0,6.0,2018-03-11
938,E,8.0,3.0,8.0,2018-03-10
940,E,4.0,3.0,6.0,2018-03-09
942,E,6.0,9.0,5.0,2018-03-08
943,E,4.0,2.0,6.0,2018-03-08
945,E,8.0,8.0,4.0,2018-03-07
947,E,7.0,2.0,1.0,2018-03-06
949,E,0.0,6.0,4.0,2018-03-05
951,E,6.0,9.0,1.0,2018-03-04
953,E,5.0,7.0,9.0,2018-03-03
955,E,0.0,9.0,5.0,2018-03-02
957,E,2.0,6.0,1.0,2018-03-01
958,E,5.0,3.0,4.0,2018-03-01
960,E,4.0,8.0,2.0,2018-02-28
962,E,0.0,9.0,2.0,2018-02-27
964,E,1.0,3.0,7.0,2018-02-26
966,E,0.0,5.0,9.0,2018-02-25
968,E,1.0,4.0,3.0,2018-02-24
970,E,1.0,8.0,0.0,2018-02-23
972,E,5.0,3.0,3.0,2018-02-22
974,E,5.0,2.0,6.0,2018-02-21
976,E,0.0,8.0,3.0,2018-02-20
978,E,3.0,6.0,2.0,2018-02-19
980,E,9.0,6.0,7.0,2018-02-18
982,E,0.0,8.0,7.0,2018-02-17
984,E,5.0,0.0,9.0,2018-02-16
986,E,7.0,3.0,7.0,2018-02-15
988,E,1.0,8.0,3.0,2018-02-14
990,E,4.0,3.0,9.0,2018-02-13
992,E,0.0,6.0,7.0,2018-02-12
994,E,7.0,8.0,7.0,2018-02-11
996,E,8.0,5.0,8.0,2018-02-10
998,E,9.0,7.0,6.0,2018-02-09
1000,E,9.0,9.0,1.0,2018-02-08
1002,E,3.0,0.0,6.0,2018-02-07
1004,E,5.0,7.0,0.0,2018-02-06
1006,E,3.0,9.0,9.0,2018-02-05
1008,E,1.0,2.0,3.0,2018-02-04
1010,E,0.0,0.0,6.0,2018-02-03
1012,E,9.0,4.0,2.0,2018-02-02
1014,E,5.0,4.0,3.0,2018-02-01
1016,E,9.0,9.0,5.0,2018-01-31
1018,E,5.0,6.0,4.0,2018-01-30
1020,E,2.0,7.0,8.0,2018-01-29
1022,E,5.0,2.0,5.0,2018-01-28
1024,E,8.0,0.0,0.0,2018-01-27
1026,E,9.0,6.0,7.0,2018-01-26
1028,E,6.0,2.0,3.0,2018-01-25
1030,E,3.0,4.0,2.0,2018-01-24
1032,E,9.0,2.0,5.0,2018-01-23
1034,E,6.0,5.0,2.0,2018-01-22
1036,E,0.0,3.0,0.0,2018-01-21
1038,E,4.0,3.0,5.0,2018-01-20
1040,E,9.0,5.0,6.0,2018-01-19
1042,E,0.0,6.0,4.0,2018-01-18
1044,E,3.0,7.0,1.0,2018-01-17
1046,E,5.0,2.0,9.0,2018-01-16
1048,E,8.0,6.0,1.0,2018-01-15
1050,E,4.0,5.0,2.0,2018-01-14
1052,E,8.0,5.0,9.0,2018-01-13
1054,E,2.0,2.0,0.0,2018-01-12
1056,E,7.0,9.0,0.0,2018-01-11
1058,E,0.0,7.0,1.0,2018-01-10
1060,E,3.0,1.0,3.0,2018-01-09
1062,E,6.0,4.0,7.0,2018-01-08
1064,E,8.0,4.0,4.0,2018-01-07
1066,E,5.0,2.0,7.0,2018-01-06
1068,E,2.0,1.0,4.0,2018-01-05
1070,E,0.0,6.0,5.0,2018-01-04
1072,E,5.0,6.0,1.0,2018-01-03
1074,E,3.0,3.0,7.0,2018-01-02
1076,E,3.0,1.0,5.0,2018-01-01
1078,E,2.0,7.0,4.0,2017-12-31
1080,E,3.0,6.0,7.0,2017-12-30
1082,E,9.0,3.0,4.0,2017-12-29
1084,E,1.0,2.0,8.0,2017-12-28
1086,E,2.0,7.0,8.0,2017-12-27
1088,E,9.0,6.0,1.0,2017-12-26
1090,E,6.0,9.0,7.0,2017-12-25
1092,E,7.0,8.0,2.0,2017-12-24
1094,E,8.0,1.0,0.0,2017-12-23
1096,E,6.0,6.0,7.0,2017-12-22
1098,E,4.0,2.0,0.0,2017-12-21
1100,E,4.0,3.0,9.0,2017-12-20
1102,E,7.0,5.0,2.0,2017-12-19
1104,E,4.0,2.0,7.0,2017-12-18
1106,E,7.0,0.0,1.0,2017-12-17
1108,E,6.0,1.0,6.0,2017-12-16
1110,E,6.0,6.0,3.0,2017-12-15
1112,E,2.0,3.0,7.0,2017-12-14
1114,E,9.0,1.0,1.0,2017-12-13
1116,E,4.0,7.0,0.0,2017-12-12
1118,E,4.0,3.0,8.0,2017-12-11
1120,E,2.0,8.0,8.0,2017-12-10
1122,E,0.0,2.0,8.0,2017-12-09
1124,E,8.0,5.0,5.0,2017-12-08
1126,E,7.0,2.0,9.0,2017-12-07
1128,E,1.0,0.0,2.0,2017-12-06
1130,E,0.0,6.0,4.0,2017-12-05
1132,E,4.0,3.0,4.0,2017-12-04
1134,E,0.0,4.0,4.0,2017-12-03
1136,E,3.0,7.0,4.0,2017-12-02
1138,E,2.0,3.0,4.0,2017-12-01
1140,E,0.0,6.0,1.0,2017-11-30
1142,E,7.0,4.0,9.0,2017-11-29
1144,E,7.0,1.0,8.0,2017-11-28
1146,E,6.0,4.0,9.0,2017-11-27
1148,E,5.0,9.0,0.0,2017-11-26
1150,E,4.0,7.0,4.0,2017-11-25
1152,E,3.0,0.0,8.0,2017-11-24
1154,E,8.0,9.0,3.0,2017-11-23
1156,E,4.0,8.0,1.0,2017-11-22
1158,E,5.0,5.0,8.0,2017-11-21
1160,E,6.0,5.0,0.0,2017-11-20
1162,E,5.0,6.0,5.0,2017-11-19
1164,E,5.0,4.0,9.0,2017-11-18
1166,E,2.0,0.0,5.0,2017-11-17
1168,E,4.0,8.0,0.0,2017-11-16
1170,E,6.0,1.0,8.0,2017-11-15
1172,E,0.0,9.0,0.0,2017-11-14
1174,E,8.0,8.0,5.0,2017-11-13
1176,E,9.0,1.0,6.0,2017-11-12
1178,E,2.0,4.0,0.0,2017-11-11
1180,E,3.0,5.0,7.0,2017-11-10
1182,E,5.0,8.0,3.0,2017-11-09
1184,E,9.0,6.0,1.0,2017-11-08
1186,E,9.0,9.0,2.0,2017-11-07
